METAZOA	SPECIES_NAME	A(%)_GENOME	T(%)_GENOME	G(%)_GENOME	C(%)_GENOME	N-Xs(%)_GENOME
58	phaseolus vulgaris	29.49	29.49	15.87	15.84	9.32
59	phoenix dactylifera	29.53	29.49	18.52	18.54	3.92
60	phyllostachys heterocycla	25.15	25.14	19.67	19.68	10.37
61	physcomitrella patens	31.41	31.39	15.89	15.89	5.43
62	pinus taeda	27.69	27.48	17.05	17.08	10.71
63	populus trichocarpa	32.12	32.1	16.28	16.29	3.21
64	prunus mume	28.99	28.99	17.37	17.36	7.28
65	prunus persica	30.85	30.91	18.52	18.55	1.16
66	pyrus bretschneideri	30.69	30.65	18.24	18.24	2.17
67	ricinus communis	31.76	31.82	16.24	16.28	3.9
68	selaginella moellendorffii	26.85	26.9	22.19	22.19	1.87
69	sesamum indicum	31.97	31.96	17.21	17.21	1.66
70	setaria italica	26.61	26.6	22.81	22.79	1.19
71	sisymbrium irio	26.49	26.38	14.93	14.95	17.24
72	solanum lycopersicum	31.12	31.11	16.07	16.06	5.63
73	solanum melongena	30.67	30.57	16.96	17.05	4.75
74	solanum tuberosum	25.83	25.84	13.76	13.77	20.8
75	sorghum bicolor	26.49	26.48	20.75	20.74	5.55
76	spirodela polyrhiza	25.57	25.61	18.53	18.54	11.74
77	tarenaya hassleriana	26.57	26.57	17.27	17.27	12.32
78	thellungiella halophila	30.54	30.56	18.48	18.51	1.91
79	theobroma cacao	29.29	29.27	15.25	15.22	10.97
80	triticum aestivum	27.3	27.3	22.55	22.55	0.3
81	triticum urartu	21.88	21.85	18.28	18.29	19.7
82	utricularia gibba	29.69	29.69	20	20.02	0.59
83	vitis vinifera	31.65	31.65	16.7	16.71	3.29
84	volvox carteri	20.97	20.98	26.81	26.81	4.43
85	zea mays	26.39	26.39	23.29	23.31	0.63
						
PROTISTS	SPECIES_NAME	A(%)_GENOME	T(%)_GENOME	G(%)_GENOME	C(%)_GENOME	N-Xs(%)_GENOME
1	acanthamoeba castellanii	19.53	19.51	27.44	27.4	6.13
2	albugo laibachii	27.82	27.83	22.17	22.17	0
3	aurantiochytrium limacinum	26.97	27.02	22.23	22.25	1.54
4	aureococcus anophagefferens	13.69	13.69	31.2	31.2	10.22
5	babesia bovis	29.26	29.06	20.82	20.86	0
6	bigelowiella natans	26.6	26.62	21.65	21.65	3.48
7	blastocystis hominis	27.25	27.29	22.52	22.55	0.39
8	capsaspora owczarzaki	22.64	22.66	26.4	26.4	1.91
9	chondrus crispus	23.32	23.36	26.27	26.19	0.85
10	cryptosporidium hominis	34.54	34.52	15.2	15.7	0.03
11	cryptosporidium muris	35.79	35.69	14.24	14.22	0.07
12	cryptosporidium parvum	34.92	34.74	15.16	15.01	0.16
13	cyanidioschyzon merolae	22.52	22.47	27.51	27.51	0
14	dictyostelium discoideum	38.78	38.76	11.17	11.22	0.07
15	dictyostelium fasciculatum	33.06	33.11	16.91	16.92	0
16	dictyostelium purpureum	37.66	37.6	12.18	12.2	0.35
17	ectocarpus siliculosus	22.63	22.67	26.18	26.13	2.39
18	emiliania huxleyi	15.98	15.96	30.58	30.51	6.98
19	entamoeba dispar	38.06	37.84	11.78	11.76	0.56
20	entamoeba histolytica	37.68	37.81	12.11	12.09	0.31
21	entamoeba invadens	34.56	34.59	14.97	14.95	0.93
22	fonticula alba	12.91	13.02	27.64	27.56	18.87
23	fragilariopsis cylindrus	29.08	29.1	18.23	18.21	5.38
24	galdieria sulphuraria	30.55	30.41	18.33	18.56	2.15
25	giardia intestinalis	26.38	26.36	23.64	23.62	0
26	gregarina niphandrodes	22.5	22.49	26.2	26.16	2.65
27	guillardia theta	22.45	22.46	25.4	25.45	4.23
28	hammondia hammondi	23.23	23.29	26.54	26.59	0.34
29	hyaloperonospora arabidopsidis	23.69	23.7	21.19	21.2	10.22
30	ichthyophthirius multifiliis	41.93	41.96	7.96	7.97	0.18
31	leishmania braziliensis	20.93	21.18	28.64	28.97	0.29
32	leishmania infantum	20.03	20.36	29.63	29.9	0.08
33	leishmania major	19.98	20.32	29.72	29.98	0
34	monosiga brevicollis	20.95	20.93	25.46	25.49	7.17
35	naegleria gruberi	29.66	29.57	14.69	14.68	11.4
36	nannochloropsis gaditana	20.46	20.4	24.3	24.18	10.66
37	neospora caninum	22.58	22.58	27.42	27.38	0.04
38	oxytricha trifallax	35.86	35.7	14.21	14.23	0
39	paramecium tetraurelia	35.7	35.67	13.93	13.9	0.8
40	perkinsus marinus	26.12	26.13	23.53	23.58	0.65
41	phaeodactylum tricornutum	25.2	25.16	24.03	24.04	1.58
42	phytophthora infestans	20.41	20.39	21.22	21.18	16.81
43	phytophthora ramorum	18.85	18.83	22	21.98	18.35
44	phytophthora sojae	20.66	20.67	24.68	24.72	9.27
45	plasmodiophora brassicae	20.03	20.02	29.27	29.26	1.43
46	plasmodium berghei	38.74	38.61	10.94	11.03	0.68
47	plasmodium chabaudi	38.26	38.11	11.76	11.87	0
48	plasmodium falciparum	40.31	40.32	9.7	9.66	0
49	plasmodium knowlesi	29.53	29.65	18.67	18.87	3.29
50	plasmodium vivax	28.76	28.86	21.07	21.13	0.18
51	polysphondylium pallidum	33.95	33.97	16.02	16.06	0.01
52	pseudonitzschia multiseries	25.38	25.38	20.36	20.36	8.52
53	pyropia yezoensis	18.07	17.95	31.56	31.4	1.02
54	pythium ultimum	22.72	22.73	24.89	24.94	4.72
55	reticulomyxa filosa	32.5	32.48	17.5	17.52	0
56	salpingoeca rosetta	20.47	20.56	26.12	26.12	6.74
57	saprolegnia parasitica	18.83	18.83	26.5	26.49	9.33
58	sphaeroforma arctica	23.26	23.42	16.8	16.71	19.81
59	spironucleus salmonicida	33.11	33.05	16.68	16.68	0.48
60	stylonychia lemnae	33.86	34.43	15.78	15.92	0
61	symbiodinium minutum	28	28.01	21.47	21.57	0.95
62	tetrahymena thermophila	38.81	38.83	11.16	11.14	0.06
63	thalassiosira oceanica	23.36	23.32	26.67	26.64	0
64	thalassiosira pseudonana	26.43	26.4	23.33	23.33	0.51
65	thecamonas trahens	17.4	17.45	31.1	31.2	2.85
66	theileria annulata	33.71	33.74	16.28	16.27	0.01
67	theileria parva	32.87	33.02	17	17.11	0
68	toxoplasma gondii	23.78	23.79	26.06	26.08	0.28
69	trichomonas vaginalis	33.42	33.44	16.34	16.34	0.46
70	trypanosoma brucei	26.63	26.88	23.19	23.29	0.01
71	trypanosoma congolense	23.3	23.24	21.6	21.71	10.14
72	trypanosoma vivax	21.14	21.08	22.75	22.97	12.06
73	vitrella brassicaformis	20.69	20.69	28.66	28.68	1.28
						
FUNGI	SPECIES_NAME	A(%)_GENOME	T(%)_GENOME	G(%)_GENOME	C(%)_GENOME	N-Xs(%)_GENOME
1	acidomyces richmondensis	25.22	25.42	24.68	24.65	0.02
2	acremonium alcalophilum	26.66	26.76	23.15	23.19	0.24
3	agaricus bisporus	26.56	26.6	23.08	23.09	0.68
4	allomyces macrogynus	17.72	17.71	28.39	28.41	7.77
5	amanita muscaria	23.1	23.07	20.92	20.94	11.97
6	amorphotheca resinae	26.06	26.01	23.69	23.64	0.6
7	ascoidea rubescens	33.52	33.47	16.37	16.41	0.24
8	ashbya gossypii	24.13	24.08	25.84	25.95	0
9	aspergillus fumigatus	24.62	24.59	24.43	24.39	1.97
10	aspergillus nidulans	24.78	24.84	25.18	25.17	0.04
11	aspergillus niger	24.49	24.45	24.84	24.83	1.38
12	aspergillus oryzae	25.26	25.24	23.56	23.56	2.38
13	aspergillus terreus	23.43	23.46	26.29	26.37	0.45
14	aureobasidium pullulans	24.64	24.57	25.36	25.41	0.02
15	auricularia delicata	19.07	19.06	27.04	26.99	7.83
16	babjeviella inositovora	25.7	25.6	23.81	23.78	1.1
17	batrachochytrium dendrobatidis	30.17	30.11	19.47	19.49	0.76
18	baudoinia compniacensis	22.61	22.58	27.39	27.37	0.05
19	bjerkandera adusta	21.29	21.25	25.84	25.78	5.85
20	botryobasidium botryosum	23.32	23.29	25.71	25.69	1.98
21	botrytis cinerea	25.92	25.85	19.59	19.57	9.09
22	candida albicans	33.16	33.1	16.67	16.67	0.39
23	candida dubliniensis	33.38	33.37	16.64	16.61	0
24	candida glabrata	30.65	30.7	19.3	19.36	0
25	catenaria anguillulae	20.17	20.03	25.39	25.53	8.87
26	cercospora zeae	23.06	23.04	21.68	21.7	10.52
27	ceriporiopsis subvermispora	22.49	22.45	26.1	26.15	2.81
28	chaetomium globosum	21.88	21.86	27.33	27.35	1.58
29	cladonia grayi	26.8	26.81	21.66	21.63	3.09
30	cladosporium fulvum	25.47	25.48	24.27	24.26	0.52
31	cochliobolus heterostrophus	25.03	25.02	24.81	24.79	0.36
32	cochliobolus lunatus	24.5	24.55	25.37	25.38	0.19
33	coemansia reversa	25.9	25.92	21.32	21.38	5.48
34	conidiobolus coronatus	28.7	28.79	11	10.98	20.53
35	coniophora puteana	23.18	23.2	25.53	25.52	2.57
36	coprinopsis cinerea	24.19	24.14	25.85	25.81	0
37	cronartium quercuum	22.79	22.77	15.86	15.89	22.69
38	cryphonectria parasitica	24.53	24.55	25.37	25.38	0.16
39	cryptococcus gattii	26.03	26.05	24	23.85	0.07
40	cryptococcus neoformans	25.72	25.73	24.29	24.25	0.01
41	dacryopinax sp	22.34	22.35	24.44	24.43	6.45
42	daldinia eschscholzii	27.41	27.44	22.44	22.43	0.28
43	debaryomyces hansenii	31.81	31.82	18.12	18.1	0.15
44	dekkera bruxellensis	28.83	28.6	18.98	19.22	4.38
45	dichomitus squalens	20.51	20.51	25.65	25.63	7.7
46	didymella exigua	23.1	23.1	25.83	25.84	2.13
47	dothistroma septosporum	23.37	23.33	26.45	26.4	0.45
48	encephalitozoon cuniculi	26.38	26.29	23.77	23.52	0.03
49	encephalitozoon intestinalis	29.34	29.14	20.99	20.53	0
50	eurotium herbariorum	25.49	25.47	24.28	24.26	0.51
51	fomitiporia mediterranea	26.48	26.54	18.33	18.26	10.39
52	fomitopsis pinicola	21.08	21.02	26.53	26.52	4.84
53	fusarium oxysporum	25.21	25.22	23.73	23.7	2.15
54	galerina marginata	25.36	25.32	23.36	23.37	2.58
55	ganoderma sp	21.58	21.57	27.17	27.16	2.52
56	gibberella moniliformis	25.56	25.58	24.33	24.32	0.21
57	gibberella zeae	25.67	25.67	24.02	24.02	0.62
58	gloeophyllum trabeum	21.65	21.66	24.65	24.65	7.39
59	gonapodya prolifera	23.55	23.51	25.92	25.9	1.11
60	gymnopus luxurians	27.01	27.03	22.17	22.19	1.6
61	hanseniaspora valbyensis	30.97	30.96	11.28	11.29	15.51
62	hansenula polymorpha	26.09	26.04	23.92	23.94	0.01
63	hebeloma cylindrosporum	25.28	25.32	23.74	23.75	1.91
64	heterobasidion annosum	23.88	23.9	26.14	26.09	0
65	hydnomerulius pinastri	22.78	22.57	23.33	23.46	7.85
66	hypholoma sublateritium	23.72	23.69	24.7	24.72	3.18
67	hyphopichia burtonii	32.42	32.3	17.42	17.41	0.45
68	hypoxylon sp	29.85	29.9	20.05	20.02	0.18
69	hysterium pulicare	25.54	25.49	24.31	24.3	0.36
70	jaapia argillacea	24.09	24.17	23.87	23.94	3.93
71	kluyveromyces lactis	30.62	30.62	19.35	19.41	0
72	laccaria bicolor	23.95	24.02	21.22	21.27	9.55
73	lachancea thermotolerans	26.36	26.33	23.62	23.67	0.03
74	leptosphaeria maculans	26.69	26.69	22.05	22.06	2.51
75	lipomyces starkeyi	25.83	25.78	22.79	22.83	2.76
76	magnaporthe oryzae	24.13	24.17	25.77	25.74	0.19
77	magnaporthe poae	18.79	18.81	24.91	24.92	12.56
78	malassezia globosa	23.95	23.99	25.95	26.11	0
79	melampsora laricis	28.46	28.53	19.79	19.82	3.41
80	metschnikowia bicuspidata	25.51	25.41	23.35	23.38	2.35
81	mixia osmundae	22.13	22.12	27.64	27.61	0.51
82	mucor circinelloides	28.91	28.92	21.07	21.1	0
83	myceliophthora thermophila	24.29	24.25	25.74	25.71	0
84	mycosphaerella graminicola	23.9	23.95	26.05	26.08	0.02
